"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (AED)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (AED)","Link clicks",Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2025-10-25,2026-07-02,Def04,inactive,,,,60,Daily,8.72,245,210,1.166667,35.591837,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-12T00:15:25+0400,-,-,-,"PPF -- Sean"
2025-10-25,2026-07-02,"Sean Ramadan",not_delivering,9,actions:onsite_conversion.messaging_conversation_started_7d,21.53111111,60,Daily,193.78,3562,2380,1.496639,54.402021,16,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Ceramic Ramadan"
2025-10-25,2026-07-02,"Hamza Ramadan",inactive,,,,60,Daily,21.99,177,139,1.273381,124.237288,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Ceramic Ramadan"
2025-10-25,2026-07-02,"Jetour Ad01",inactive,125,actions:leadgen.other,15.24192,50,Daily,1905.24,73766,40529,1.820079,25.828159,496,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"G700 Ads"
2025-10-25,2026-07-02,"Jetour Ad03",inactive,3,actions:leadgen.other,42.69333333,50,Daily,128.08,2029,1320,1.537121,63.124692,14,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"G700 Ads"
2025-10-25,2026-07-02,"Jetour Ad02",inactive,17,actions:leadgen.other,34.06764706,50,Daily,579.15,12625,6662,1.895077,45.873267,103,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"G700 Ads"
2025-10-25,2026-07-02,"Jetour Ad01",active,565,actions:leadgen.other,37.94759292,150,Daily,21440.39,529198,150852,3.508061,40.514873,3453,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"G700 Ads - Qauli Form"
2025-10-25,2026-07-02,"Jetour Blackout",inactive,1,actions:leadgen.other,124.61,50,Daily,124.61,2512,1360,1.847059,49.605892,35,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"G700 Ads"
2025-10-25,2026-07-02,"Jetour Blue",inactive,19,actions:leadgen.other,45.45526316,50,Daily,863.65,22051,8350,2.640838,39.166024,212,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"G700 Ads"
2025-10-25,2026-07-02,"GTS Offers – 02",not_delivering,3,actions:onsite_conversion.messaging_conversation_started_7d,10.9,27,Daily,32.7,582,415,1.40241,56.185567,4,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-11-30T12:39:03+0400,-,-,-,"general offerings"
2025-10-25,2026-07-02,Detail,not_delivering,9,actions:onsite_conversion.messaging_conversation_started_7d,17.19777778,22,Daily,154.78,7333,5342,1.372707,21.107323,17,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-11-30T12:39:03+0400,-,-,-,Deatiling
2025-10-25,2026-07-02,"GTS Offers – 03",not_delivering,6,actions:onsite_conversion.messaging_conversation_started_7d,13.44666667,27,Daily,80.68,1588,1143,1.389326,50.806045,11,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-11-30T12:39:03+0400,-,-,-,"general offerings"
2025-10-25,2026-07-02,"GTS Offers",not_delivering,6,actions:onsite_conversion.messaging_conversation_started_7d,13.095,27,Daily,78.57,1775,1234,1.438412,44.264789,9,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-11-30T12:39:03+0400,-,-,-,"general offerings"
